Reference,Account Number,Description,Start Balance,Mutation,End Balance
137243,NL93ABNA0585619023,Candy from Rik King,13.33,+38.58,51.91
112806,NL90ABNA0585647886,Candy for Vincent King,16.91,-38.13,-21.22
118455,NL46ABNA0625805417,Clothes for Rik de Vries,18.08,+26.08,44.16
168541,NL43AEGO0773393871,Flowers from Jan Theuﬂ,81.2,-49.38,31.82
112806,NL32RABO0195610843,Clothes for Peter King,14.84,+34.32,49.16
112806,NL93ABNA0585619023,Flowers for Willem Bakker,89.66,-35.54,54.12
159854,NL56RABO0149876948,Tickets from Peter Dekker,56.42,-31.99,24.43
153928,NL91RABO0315273637,Clothes for Jan Theuﬂ,79.52,+41.24,120.76
133575,NL93ABNA0585619023,Candy for Jan Theuﬂ,109.04,+40.16,149.2
186393,NL74ABNA0248990274,Flowers for Willem Bakker,30.4,+43.18,73.58
